Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,develpmental_stage,Experiment,exposed_to,genotype/variation,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,medium,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,strain_background,temperature,timepoint,tissue
SRR1536002,RNA-Seq,202,5200350216,PRJNA257404,SAMN02951472,3606133885,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",L4,SRX669136,BT-247,Wide type,GSM1464466,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,PFM,Caenorhabditis elegans,ILLUMINA,2016-03-31T00:00:00Z,GSM1464466,N2_BT_12h,SRP045231,N2,20°C,12 h,whole body
SRR1536003,RNA-Seq,202,5314759582,PRJNA257404,SAMN02951473,3753443117,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",L4,SRX669137,BT-247,Wide type,GSM1464467,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,PFM,Caenorhabditis elegans,ILLUMINA,2016-03-31T00:00:00Z,GSM1464467,N2_BT_12h,SRP045231,N2,20°C,12 h,whole body
SRR1536004,RNA-Seq,202,5677108596,PRJNA257404,SAMN02951474,3912312078,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",L4,SRX669138,BT-247,Wide type,GSM1464468,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,PFM,Caenorhabditis elegans,ILLUMINA,2016-03-31T00:00:00Z,GSM1464468,N2_BT_12h,SRP045231,N2,20°C,12 h,whole body
SRR1536005,RNA-Seq,202,6692965788,PRJNA257404,SAMN02951475,4645596547,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",L4,SRX669139,OP50,Wide type,GSM1464469,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,PFM,Caenorhabditis elegans,ILLUMINA,2016-03-31T00:00:00Z,GSM1464469,N2_OP_12h,SRP045231,N2,20°C,12 h,whole body
SRR1536006,RNA-Seq,202,5128353376,PRJNA257404,SAMN02951476,3652782960,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",L4,SRX669140,OP50,Wide type,GSM1464470,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,PFM,Caenorhabditis elegans,ILLUMINA,2016-03-31T00:00:00Z,GSM1464470,N2_OP_12h,SRP045231,N2,20°C,12 h,whole body
SRR1536007,RNA-Seq,202,5304923596,PRJNA257404,SAMN02951477,3712404924,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",L4,SRX669141,OP50,Wide type,GSM1464471,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,PFM,Caenorhabditis elegans,ILLUMINA,2016-03-31T00:00:00Z,GSM1464471,N2_OP_12h,SRP045231,N2,20°C,12 h,whole body
SRR1536008,RNA-Seq,202,5933590420,PRJNA257404,SAMN02951478,4099536177,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",L4,SRX669142,BT-247,npr-1 (ur89),GSM1464472,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,PFM,Caenorhabditis elegans,ILLUMINA,2016-03-31T00:00:00Z,GSM1464472,ur89_BT_12h,SRP045231,N2,20°C,12 h,whole body
SRR1536009,RNA-Seq,202,7793903562,PRJNA257404,SAMN02951479,5466790754,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",L4,SRX669143,BT-247,npr-1 (ur89),GSM1464473,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,PFM,Caenorhabditis elegans,ILLUMINA,2016-03-31T00:00:00Z,GSM1464473,ur89_BT_12h,SRP045231,N2,20°C,12 h,whole body
SRR1536010,RNA-Seq,202,5980365136,PRJNA257404,SAMN02951480,4097693916,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",L4,SRX669144,BT-247,npr-1 (ur89),GSM1464474,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,PFM,Caenorhabditis elegans,ILLUMINA,2016-03-31T00:00:00Z,GSM1464474,ur89_BT_12h,SRP045231,N2,20°C,12 h,whole body
SRR1536011,RNA-Seq,202,6112050956,PRJNA257404,SAMN02951481,4296115073,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",L4,SRX669145,OP50,npr-1 (ur89),GSM1464475,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,PFM,Caenorhabditis elegans,ILLUMINA,2016-03-31T00:00:00Z,GSM1464475,ur89_OP_12h,SRP045231,N2,20°C,12 h,whole body
