Run,age_at_rna_harvest,age_when_treatment_starts,Assay Type,AvgSpotLen,Bases,Batch,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,treated_with
SRR1658964,day3,day1,RNA-Seq,100,2921138000,batch1,PRJNA268148,SAMN03203571,1835714485,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX765260,GSM1551787,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2016-01-07T00:00:00Z,GSM1551787,h2o d1/d3_whole animal,SRP050116,water (H2O)
SRR1658966,day10,day1,RNA-Seq,100,2549029300,batch1,PRJNA268148,SAMN03203564,1495136562,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX765262,GSM1551789,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2016-01-07T00:00:00Z,GSM1551789,h2o d1/d10_whole animal,SRP050116,water (H2O)
SRR1658969,day10,day1,RNA-Seq,100,2498085300,batch1,PRJNA268148,SAMN03203548,1589923759,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX765265,GSM1551792,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2016-01-07T00:00:00Z,GSM1551792,mia50 d1/d10_whole animal,SRP050116,mianserin (50uM)
SRR1658972,day10,day 5,RNA-Seq,100,3104291300,batch1,PRJNA268148,SAMN03203543,1956873685,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX765268,GSM1551795,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2016-01-07T00:00:00Z,GSM1551795,mia50 d5/d10_whole animal,SRP050116,mianserin (50uM)
SRR1658974,day5,day 1,RNA-Seq,100,2771694500,batch1,PRJNA268148,SAMN03203554,1699846964,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX765270,GSM1551797,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2016-01-07T00:00:00Z,GSM1551797,mia10d1/d5_whole animal,SRP050116,mianserin (10uM)
SRR1658977,day5,day1,RNA-Seq,100,2071066500,batch2,PRJNA268148,SAMN03203553,1240379231,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX765273,GSM1551800,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2016-01-07T00:00:00Z,GSM1551800,h2o d1/d5_whole animal,SRP050116,water (H2O)
SRR1658979,day3,day1,RNA-Seq,100,1909685200,batch2,PRJNA268148,SAMN03203557,1132617969,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX765275,GSM1551802,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2016-01-07T00:00:00Z,GSM1551802,mia50 d1/d3_whole animal,SRP050116,mianserin (50uM)
SRR1658981,day10,day1,RNA-Seq,100,1829061800,batch2,PRJNA268148,SAMN03203551,1050525194,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX765277,GSM1551804,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2016-01-07T00:00:00Z,GSM1551804,mia50 d1/d10_whole animal,SRP050116,mianserin (50uM)
SRR1658983,day10,day 3,RNA-Seq,100,1986015200,batch2,PRJNA268148,SAMN03203540,1146753292,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX765279,GSM1551806,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2016-01-07T00:00:00Z,GSM1551806,mia50 d3/d10_whole animal,SRP050116,mianserin (50uM)
SRR1658985,day5,day 1,RNA-Seq,100,2325179400,batch2,PRJNA268148,SAMN03203575,1318546188,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX765281,GSM1551808,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2016-01-07T00:00:00Z,GSM1551808,mia2 d1/d5_whole animal,SRP050116,mianserin (2uM)
