Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Developmental_stage,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,strain
SRR2537183,RNA-Seq,100,1191541700,PRJNA297365,SAMN04122848,515113371,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",L4,SRX1295766,GSM1898653,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2016-06-01T00:00:00Z,GSM1898653,N2_51mM_NaCl,SRP064324,N2
SRR2537184,RNA-Seq,100,1225196200,PRJNA297365,SAMN04122848,531962027,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",L4,SRX1295766,GSM1898653,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2016-06-01T00:00:00Z,GSM1898653,N2_51mM_NaCl,SRP064324,N2
SRR2537185,RNA-Seq,100,1109763200,PRJNA297365,SAMN04122849,480705915,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",L4,SRX1295767,GSM1898654,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2016-06-01T00:00:00Z,GSM1898654,N2_51mM_NaCl,SRP064324,N2
SRR2537186,RNA-Seq,100,1141272400,PRJNA297365,SAMN04122849,496294524,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",L4,SRX1295767,GSM1898654,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2016-06-01T00:00:00Z,GSM1898654,N2_51mM_NaCl,SRP064324,N2
SRR2537187,RNA-Seq,100,1057753300,PRJNA297365,SAMN04122850,455684096,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",L4,SRX1295768,GSM1898655,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2016-06-01T00:00:00Z,GSM1898655,N2_200mM_NaCl,SRP064324,N2
SRR2537188,RNA-Seq,100,1087955300,PRJNA297365,SAMN04122850,470389001,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",L4,SRX1295768,GSM1898655,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2016-06-01T00:00:00Z,GSM1898655,N2_200mM_NaCl,SRP064324,N2
SRR2537189,RNA-Seq,100,1166513000,PRJNA297365,SAMN04122851,504246663,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",L4,SRX1295769,GSM1898656,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2016-06-01T00:00:00Z,GSM1898656,N2_200mM_NaCl,SRP064324,N2
SRR2537190,RNA-Seq,100,1199161200,PRJNA297365,SAMN04122851,520108887,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",L4,SRX1295769,GSM1898656,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2016-06-01T00:00:00Z,GSM1898656,N2_200mM_NaCl,SRP064324,N2
SRR2537191,RNA-Seq,100,1114947000,PRJNA297365,SAMN04122852,479668990,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",L4,SRX1295770,GSM1898657,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2016-06-01T00:00:00Z,GSM1898657,osm-9_51mM_NaCl,SRP064324,osm-9
SRR2537192,RNA-Seq,100,1145843500,PRJNA297365,SAMN04122852,494615992,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",L4,SRX1295770,GSM1898657,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2016-06-01T00:00:00Z,GSM1898657,osm-9_51mM_NaCl,SRP064324,osm-9
