Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,exposure,exposure_time,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,replicate,Sample Name,source_name,SRA Study,tissue
SRR5757263,RNA-Seq,51,1400061894,PRJNA391939,SAMN07278746,992973969,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2957361,Unexposed,24h,GSM2684871,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2018-02-14T00:00:00Z,1,GSM2684871,Whole Worm Culture,SRP110515,whole worm
SRR5757264,RNA-Seq,51,1543791879,PRJNA391939,SAMN07278745,1096862451,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2957362,Unexposed,24h,GSM2684872,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2018-02-14T00:00:00Z,2,GSM2684872,Whole Worm Culture,SRP110515,whole worm
SRR5757265,RNA-Seq,51,1458021201,PRJNA391939,SAMN07278742,1032132083,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2957363,Unexposed,24h,GSM2684873,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2018-02-14T00:00:00Z,3,GSM2684873,Whole Worm Culture,SRP110515,whole worm
SRR5757266,RNA-Seq,51,1823524227,PRJNA391939,SAMN07278741,1290366478,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2957364,Unexposed,72h,GSM2684874,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2018-02-14T00:00:00Z,1,GSM2684874,Whole Worm Culture,SRP110515,whole worm
SRR5757267,RNA-Seq,51,1733411409,PRJNA391939,SAMN07278728,1224428834,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2957365,Unexposed,72h,GSM2684875,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2018-02-14T00:00:00Z,2,GSM2684875,Whole Worm Culture,SRP110515,whole worm
SRR5757268,RNA-Seq,51,1538527200,PRJNA391939,SAMN07278727,1085932687,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2957366,Unexposed,72h,GSM2684876,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2018-02-14T00:00:00Z,3,GSM2684876,Whole Worm Culture,SRP110515,whole worm
SRR5757269,RNA-Seq,51,1198822983,PRJNA391939,SAMN07278726,813206311,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2957367,0.033% DMSO,24h,GSM2684877,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2018-02-14T00:00:00Z,1,GSM2684877,Whole Worm Culture,SRP110515,whole worm
SRR5757270,RNA-Seq,51,1620560343,PRJNA391939,SAMN07278725,1106583879,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2957368,0.033% DMSO,24h,GSM2684878,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2018-02-14T00:00:00Z,2,GSM2684878,Whole Worm Culture,SRP110515,whole worm
SRR5757271,RNA-Seq,51,1522171296,PRJNA391939,SAMN07278748,1027532050,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2957369,0.033% DMSO,24h,GSM2684879,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2018-02-14T00:00:00Z,3,GSM2684879,Whole Worm Culture,SRP110515,whole worm
SRR5757272,RNA-Seq,51,1538180553,PRJNA391939,SAMN07278747,1037454069,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX2957370,0.033% DMSO,72h,GSM2684880,Illumina HiSeq 2000,SINGLE,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2018-02-14T00:00:00Z,1,GSM2684880,Whole Worm Culture,SRP110515,whole worm
