Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Genotype,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,stage,treatment
SRR6356587,RNA-Seq,149,656286794,PRJNA421426,SAMN08142847,264257744,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3453154,N2,GSM2879398,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2018-03-06T00:00:00Z,GSM2879398,"N2\, No treatment",SRP126312,L4,No treatment
SRR6356588,RNA-Seq,149,669298251,PRJNA421426,SAMN08142847,269007124,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3453154,N2,GSM2879398,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2018-03-06T00:00:00Z,GSM2879398,"N2\, No treatment",SRP126312,L4,No treatment
SRR6356589,RNA-Seq,149,624864177,PRJNA421426,SAMN08142847,256053092,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3453154,N2,GSM2879398,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2018-03-06T00:00:00Z,GSM2879398,"N2\, No treatment",SRP126312,L4,No treatment
SRR6356590,RNA-Seq,149,677609421,PRJNA421426,SAMN08142847,275595902,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3453154,N2,GSM2879398,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2018-03-06T00:00:00Z,GSM2879398,"N2\, No treatment",SRP126312,L4,No treatment
SRR6356591,RNA-Seq,150,704113700,PRJNA421426,SAMN08142846,284779775,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3453155,N2,GSM2879399,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2018-03-06T00:00:00Z,GSM2879399,"N2\, No treatment",SRP126312,L4,No treatment
SRR6356592,RNA-Seq,150,716500610,PRJNA421426,SAMN08142846,288975931,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3453155,N2,GSM2879399,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2018-03-06T00:00:00Z,GSM2879399,"N2\, No treatment",SRP126312,L4,No treatment
SRR6356593,RNA-Seq,150,669139996,PRJNA421426,SAMN08142846,275330299,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3453155,N2,GSM2879399,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2018-03-06T00:00:00Z,GSM2879399,"N2\, No treatment",SRP126312,L4,No treatment
SRR6356594,RNA-Seq,150,727554879,PRJNA421426,SAMN08142846,296729176,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3453155,N2,GSM2879399,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2018-03-06T00:00:00Z,GSM2879399,"N2\, No treatment",SRP126312,L4,No treatment
SRR6356595,RNA-Seq,150,751855479,PRJNA421426,SAMN08142853,310319143,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3453156,N2,GSM2879400,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2018-03-06T00:00:00Z,GSM2879400,"N2\, tBOOH treated",SRP126312,L4,tBOOH treated
SRR6356596,RNA-Seq,150,764693974,PRJNA421426,SAMN08142853,314751989,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3453156,N2,GSM2879400,NextSeq 500,PAIRED,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2018-03-06T00:00:00Z,GSM2879400,"N2\, tBOOH treated",SRP126312,L4,tBOOH treated
