Run,Age,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Genotype,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,strain,tissue
SRR6388516,Day 6,RNA-Seq,300,8961193500,PRJNA423001,SAMN08202562,3306275038,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3481972,wild type,GSM2893870,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2018-12-17T00:00:00Z,GSM2893870,Psora-1,SRP127019,Bristow N2,Whole body
SRR6388517,Day 6,RNA-Seq,300,9301362300,PRJNA423001,SAMN08202561,3449279394,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3481973,wild type,GSM2893871,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2018-12-17T00:00:00Z,GSM2893871,Psora-2,SRP127019,Bristow N2,Whole body
SRR6388518,Day 6,RNA-Seq,300,7451163600,PRJNA423001,SAMN08202560,2745870834,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3481974,wild type,GSM2893872,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2018-12-17T00:00:00Z,GSM2893872,Psora-3,SRP127019,Bristow N2,Whole body
SRR6388519,Day 6,RNA-Seq,300,3950345400,PRJNA423001,SAMN08202559,1535162331,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3481975,wild type,GSM2893873,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2018-12-17T00:00:00Z,GSM2893873,Allan-1,SRP127019,Bristow N2,Whole body
SRR6388520,Day 6,RNA-Seq,300,3853367700,PRJNA423001,SAMN08202558,1427894913,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3481976,wild type,GSM2893874,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2018-12-17T00:00:00Z,GSM2893874,Allan-2,SRP127019,Bristow N2,Whole body
SRR6388521,Day 6,RNA-Seq,300,4778372700,PRJNA423001,SAMN08202557,1754889041,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3481977,wild type,GSM2893875,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2018-12-17T00:00:00Z,GSM2893875,Allan-3,SRP127019,Bristow N2,Whole body
SRR6388522,Day 6,RNA-Seq,300,8289381600,PRJNA423001,SAMN08202556,3060652025,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3481978,wild type,GSM2893876,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2018-12-17T00:00:00Z,GSM2893876,Rif-1,SRP127019,Bristow N2,Whole body
SRR6388523,Day 6,RNA-Seq,300,6440444100,PRJNA423001,SAMN08202555,2389558340,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3481979,wild type,GSM2893877,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2018-12-17T00:00:00Z,GSM2893877,Rif-2,SRP127019,Bristow N2,Whole body
SRR6388524,Day 6,RNA-Seq,300,9330880500,PRJNA423001,SAMN08202554,3440001581,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3481980,wild type,GSM2893878,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2018-12-17T00:00:00Z,GSM2893878,Rif-3,SRP127019,Bristow N2,Whole body
SRR6388525,Day 6,RNA-Seq,300,6760968900,PRJNA423001,SAMN08202553,2640042441,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3481981,wild type,GSM2893879,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2018-12-17T00:00:00Z,GSM2893879,Metf-1,SRP127019,Bristow N2,Whole body
SRR6388526,Day 6,RNA-Seq,300,3908480400,PRJNA423001,SAMN08202552,1446776886,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3481982,wild type,GSM2893880,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2018-12-17T00:00:00Z,GSM2893880,Metf-2,SRP127019,Bristow N2,Whole body
SRR6388527,Day 6,RNA-Seq,300,4260262200,PRJNA423001,SAMN08202551,1577164368,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3481983,wild type,GSM2893881,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2018-12-17T00:00:00Z,GSM2893881,Metf-3,SRP127019,Bristow N2,Whole body
SRR6388528,Day 6,RNA-Seq,300,5230197600,PRJNA423001,SAMN08202550,2047758328,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3481984,wild type,GSM2893882,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2018-12-17T00:00:00Z,GSM2893882,Rap-1,SRP127019,Bristow N2,Whole body
SRR6388529,Day 6,RNA-Seq,300,7298356800,PRJNA423001,SAMN08202549,2689909906,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX3481985,wild type,GSM2893883,Illumina HiSeq 4000,PAIRED,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2018-12-17T00:00:00Z,GSM2893883,Rap-2,SRP127019,Bristow N2,Whole body
