Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Developmental_stage,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,sequencing_batch,source_name,SRA Study,tissue
SRR6761008,RNA-Seq,76,3226076196,PRJNA435494,SAMN08580407,1151893934,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",prefertile young adult,SRX3733471,GSM3019709,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2018-11-23T00:00:00Z,GSM3019709,1,Whole worm,SRP133269,Whole worm
SRR6761013,RNA-Seq,76,2137987008,PRJNA435494,SAMN08580401,730558425,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",prefertile young adult,SRX3733476,GSM3019714,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2018-11-23T00:00:00Z,GSM3019714,2,Whole worm,SRP133269,Whole worm
SRR6761014,RNA-Seq,76,2131749156,PRJNA435494,SAMN08580400,728227460,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",prefertile young adult,SRX3733477,GSM3019715,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2018-11-23T00:00:00Z,GSM3019715,2,Whole worm,SRP133269,Whole worm
SRR6761015,RNA-Seq,76,3923925524,PRJNA435494,SAMN08580399,1538172938,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",prefertile young adult,SRX3733478,GSM3019716,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2018-11-23T00:00:00Z,GSM3019716,3,Whole worm,SRP133269,Whole worm
SRR6761016,RNA-Seq,76,3556773552,PRJNA435494,SAMN08580398,1395187577,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",prefertile young adult,SRX3733479,GSM3019717,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2018-11-23T00:00:00Z,GSM3019717,3,Whole worm,SRP133269,Whole worm
SRR6761017,RNA-Seq,76,3414667232,PRJNA435494,SAMN08580397,1336961829,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",prefertile young adult,SRX3733480,GSM3019718,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2018-11-23T00:00:00Z,GSM3019718,3,Whole worm,SRP133269,Whole worm
SRR6761018,RNA-Seq,76,3234085380,PRJNA435494,SAMN08580396,1140814261,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",prefertile young adult,SRX3733481,GSM3019719,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2018-11-23T00:00:00Z,GSM3019719,1,Whole worm,SRP133269,Whole worm
SRR6761019,RNA-Seq,76,3231444000,PRJNA435494,SAMN08580395,1141748873,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",prefertile young adult,SRX3733482,GSM3019720,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2018-11-23T00:00:00Z,GSM3019720,1,Whole worm,SRP133269,Whole worm
SRR6761022,RNA-Seq,76,2983557232,PRJNA435494,SAMN08580392,1085676571,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",prefertile young adult,SRX3733485,GSM3019723,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2018-11-23T00:00:00Z,GSM3019723,1,Whole worm,SRP133269,Whole worm
SRR6761025,RNA-Seq,76,3086994524,PRJNA435494,SAMN08580389,1119429065,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",prefertile young adult,SRX3733488,GSM3019726,NextSeq 500,SINGLE,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2018-11-23T00:00:00Z,GSM3019726,1,Whole worm,SRP133269,Whole worm
