Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Developmental_stage,Experiment,Genotype,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,PHENOTYPE,Platform,ReleaseDate,Sample Name,source_name,SRA Study,tissue
SRR6798206,RNA-Seq,202,5035499834,PRJNA436651,SAMN08629749,3090221183,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",YOUNG ADULT,SRX3757066,GLP-1(E2141),GSM3028734,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,LONG LIVED,ILLUMINA,2019-03-02T00:00:00Z,GSM3028734,whole organism,SRP133825,whole animal
SRR6798207,RNA-Seq,202,5372752368,PRJNA436651,SAMN08629748,3320156198,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",YOUNG ADULT,SRX3757067,DAF-16(MU86);GLP-1(E2141),GSM3028735,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,LONGEVITY SUPPRESSED,ILLUMINA,2019-03-02T00:00:00Z,GSM3028735,whole organism,SRP133825,whole animal
SRR6798208,RNA-Seq,202,5754534994,PRJNA436651,SAMN08629747,3535292477,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",YOUNG ADULT,SRX3757068,DAF-16(MG54);GLP-1(E2141),GSM3028736,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,LONGEVITY SUPPRESSED,ILLUMINA,2019-03-02T00:00:00Z,GSM3028736,whole organism,SRP133825,whole animal
SRR6798209,RNA-Seq,202,5393627250,PRJNA436651,SAMN08629746,3366856907,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",YOUNG ADULT,SRX3757069,GLP-1(E2141),GSM3028737,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,LONG LIVED,ILLUMINA,2019-03-02T00:00:00Z,GSM3028737,whole organism,SRP133825,whole animal
SRR6798210,RNA-Seq,202,4085514236,PRJNA436651,SAMN08629745,2549957413,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",YOUNG ADULT,SRX3757070,DAF-16(MU86);GLP-1(E2141),GSM3028738,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,LONGEVITY SUPPRESSED,ILLUMINA,2019-03-02T00:00:00Z,GSM3028738,whole organism,SRP133825,whole animal
SRR6798211,RNA-Seq,202,6611160838,PRJNA436651,SAMN08629744,4147912900,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",YOUNG ADULT,SRX3757071,DAF-16(MG54);GLP-1(E2141),GSM3028739,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,LONGEVITY SUPPRESSED,ILLUMINA,2019-03-02T00:00:00Z,GSM3028739,whole organism,SRP133825,whole animal
SRR6798212,RNA-Seq,202,5840373682,PRJNA436651,SAMN08629750,3661228556,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",YOUNG ADULT,SRX3757072,GLP-1(E2141),GSM3028740,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,LONG LIVED,ILLUMINA,2019-03-02T00:00:00Z,GSM3028740,whole organism,SRP133825,whole animal
SRR6798213,RNA-Seq,202,6382236864,PRJNA436651,SAMN08629786,3982883003,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",YOUNG ADULT,SRX3757073,DAF-16(MU86);GLP-1(E2141),GSM3028741,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,LONGEVITY SUPPRESSED,ILLUMINA,2019-03-02T00:00:00Z,GSM3028741,whole organism,SRP133825,whole animal
SRR6798214,RNA-Seq,202,5748665278,PRJNA436651,SAMN08629737,3584730970,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",YOUNG ADULT,SRX3757074,DAF-16(MG54);GLP-1(E2141),GSM3028742,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,LONGEVITY SUPPRESSED,ILLUMINA,2019-03-02T00:00:00Z,GSM3028742,whole organism,SRP133825,whole animal
SRR6798215,RNA-Seq,202,5826115512,PRJNA436651,SAMN08629743,3742766401,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",YOUNG ADULT,SRX3757075,GLP-1(E2141),GSM3028743,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,LONG LIVED,ILLUMINA,2019-03-02T00:00:00Z,GSM3028743,whole organism,SRP133825,whole animal
