Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Developmental_stage,Experiment,Genotype,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,strain
SRR8255701,RNA-Seq,50,1074542250,PRJNA449675,SAMN10492106,398389573,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Day 1 adults,SRX5073481,pqm-1(ok485),GSM3494205,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2019-04-04T00:00:00Z,GSM3494205,Whole animals,SRP139555,DLS421
SRR8255705,RNA-Seq,50,1183512500,PRJNA449675,SAMN10492102,441967184,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Day 1 adults,SRX5073485,ceh-60(ok1485); pqm-1(ok485),GSM3494209,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2019-04-04T00:00:00Z,GSM3494209,Whole animals,SRP139555,DLS420
SRR8255708,RNA-Seq,50,1328733550,PRJNA449675,SAMN10492099,491846114,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Day 1 adults,SRX5073488,ceh-60(ok1485); pqm-1(rhd90),GSM3494212,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2019-04-04T00:00:00Z,GSM3494212,Whole animals,SRP139555,DLS423
SRR8255699,RNA-Seq,50,1678346250,PRJNA449675,SAMN10492108,621919367,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Day 1 adults,SRX5073479,pqm-1(ok485),GSM3494203,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2019-04-04T00:00:00Z,GSM3494203,Whole animals,SRP139555,DLS421
SRR8255700,RNA-Seq,50,1169815500,PRJNA449675,SAMN10492107,433582679,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Day 1 adults,SRX5073480,pqm-1(ok485),GSM3494204,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2019-04-04T00:00:00Z,GSM3494204,Whole animals,SRP139555,DLS421
SRR8255702,RNA-Seq,50,1072399150,PRJNA449675,SAMN10492105,397175291,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Day 1 adults,SRX5073482,pqm-1(rhd90),GSM3494206,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2019-04-04T00:00:00Z,GSM3494206,Whole animals,SRP139555,DLS424
SRR8255703,RNA-Seq,50,1130789600,PRJNA449675,SAMN10492104,420738226,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Day 1 adults,SRX5073483,pqm-1(rhd90),GSM3494207,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2019-04-04T00:00:00Z,GSM3494207,Whole animals,SRP139555,DLS424
SRR8255704,RNA-Seq,50,1097350850,PRJNA449675,SAMN10492103,405704247,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Day 1 adults,SRX5073484,pqm-1(rhd90),GSM3494208,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2019-04-04T00:00:00Z,GSM3494208,Whole animals,SRP139555,DLS424
SRR8255706,RNA-Seq,50,1117134050,PRJNA449675,SAMN10492101,415416726,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Day 1 adults,SRX5073486,ceh-60(ok1485); pqm-1(ok485),GSM3494210,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2019-04-04T00:00:00Z,GSM3494210,Whole animals,SRP139555,DLS420
SRR8255707,RNA-Seq,50,1288993800,PRJNA449675,SAMN10492100,477973848,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Day 1 adults,SRX5073487,ceh-60(ok1485); pqm-1(ok485),GSM3494211,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2019-04-04T00:00:00Z,GSM3494211,Whole animals,SRP139555,DLS420
