Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Molecule,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,strain
SRR7167175,RNA-Seq,198,7560585531,PRJNA471520,SAMN09210911,3894812423,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4085156,GSM3142773,Illumina HiSeq 1500,PAIRED,cDNA,TRANSCRIPTOMIC,chromatin associated RNA,Caenorhabditis elegans,ILLUMINA,2018-06-01T00:00:00Z,GSM3142773,mixed embryos,SRP146096,wild-type N2
SRR7167176,RNA-Seq,101,12321587464,PRJNA471520,SAMN09210911,5395611689,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4085156,GSM3142773,Illumina HiSeq 1500,PAIRED,cDNA,TRANSCRIPTOMIC,chromatin associated RNA,Caenorhabditis elegans,ILLUMINA,2018-06-01T00:00:00Z,GSM3142773,mixed embryos,SRP146096,wild-type N2
SRR7167177,RNA-Seq,123,5807857204,PRJNA471520,SAMN09210910,2609142297,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4085157,GSM3142774,Illumina HiSeq 1500,PAIRED,cDNA,TRANSCRIPTOMIC,chromatin associated RNA,Caenorhabditis elegans,ILLUMINA,2018-06-01T00:00:00Z,GSM3142774,mixed embryos,SRP146096,wild-type N2
SRR7167178,RNA-Seq,99,4615895189,PRJNA471520,SAMN09210909,2097393928,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4085158,GSM3142775,Illumina HiSeq 1500,PAIRED,cDNA,TRANSCRIPTOMIC,chromatin associated RNA,Caenorhabditis elegans,ILLUMINA,2018-06-01T00:00:00Z,GSM3142775,L1 larvae,SRP146096,wild-type N2
SRR7167179,RNA-Seq,101,5636951808,PRJNA471520,SAMN09210909,2512239355,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4085158,GSM3142775,Illumina HiSeq 1500,PAIRED,cDNA,TRANSCRIPTOMIC,chromatin associated RNA,Caenorhabditis elegans,ILLUMINA,2018-06-01T00:00:00Z,GSM3142775,L1 larvae,SRP146096,wild-type N2
SRR7167180,RNA-Seq,99,3624833976,PRJNA471520,SAMN09210908,1644081049,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4085159,GSM3142776,Illumina HiSeq 1500,PAIRED,cDNA,TRANSCRIPTOMIC,chromatin associated RNA,Caenorhabditis elegans,ILLUMINA,2018-06-01T00:00:00Z,GSM3142776,L1 larvae,SRP146096,wild-type N2
SRR7167181,RNA-Seq,101,1643938581,PRJNA471520,SAMN09210908,733579528,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4085159,GSM3142776,Illumina HiSeq 1500,PAIRED,cDNA,TRANSCRIPTOMIC,chromatin associated RNA,Caenorhabditis elegans,ILLUMINA,2018-06-01T00:00:00Z,GSM3142776,L1 larvae,SRP146096,wild-type N2
SRR7167182,RNA-Seq,99,4041829780,PRJNA471520,SAMN09210907,1861486842,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4085160,GSM3142777,Illumina HiSeq 1500,PAIRED,cDNA,TRANSCRIPTOMIC,chromatin associated RNA,Caenorhabditis elegans,ILLUMINA,2018-06-01T00:00:00Z,GSM3142777,L2 larvae,SRP146096,wild-type N2
SRR7167183,RNA-Seq,99,3738695029,PRJNA471520,SAMN09210906,1693424298,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4085161,GSM3142778,Illumina HiSeq 1500,PAIRED,cDNA,TRANSCRIPTOMIC,chromatin associated RNA,Caenorhabditis elegans,ILLUMINA,2018-06-01T00:00:00Z,GSM3142778,L2 larvae,SRP146096,wild-type N2
SRR7167184,RNA-Seq,101,1660548728,PRJNA471520,SAMN09210906,738117894,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4085161,GSM3142778,Illumina HiSeq 1500,PAIRED,cDNA,TRANSCRIPTOMIC,chromatin associated RNA,Caenorhabditis elegans,ILLUMINA,2018-06-01T00:00:00Z,GSM3142778,L2 larvae,SRP146096,wild-type N2
