Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Fraction,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,strain/genotype,tissue,treatment
SRR7788684,RNA-Seq,200,1387720400,PRJNA489378,SAMN09976728,943083574,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4643631,total RNA,GSM3375557,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2019-02-13T00:00:00Z,GSM3375557,whole worm,SRP159636,N2,whole worm,Ad Libitum
SRR7788685,RNA-Seq,200,1390988600,PRJNA489378,SAMN09976728,957795247,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4643631,total RNA,GSM3375557,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2019-02-13T00:00:00Z,GSM3375557,whole worm,SRP159636,N2,whole worm,Ad Libitum
SRR7788686,RNA-Seq,200,1373385000,PRJNA489378,SAMN09976727,934705042,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4643632,total RNA,GSM3375558,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2019-02-13T00:00:00Z,GSM3375558,whole worm,SRP159636,N2,whole worm,Ad Libitum
SRR7788687,RNA-Seq,200,1378725600,PRJNA489378,SAMN09976727,950502955,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4643632,total RNA,GSM3375558,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2019-02-13T00:00:00Z,GSM3375558,whole worm,SRP159636,N2,whole worm,Ad Libitum
SRR7788688,RNA-Seq,200,1367171400,PRJNA489378,SAMN09976726,935313650,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4643633,total RNA,GSM3375559,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2019-02-13T00:00:00Z,GSM3375559,whole worm,SRP159636,N2,whole worm,Ad Libitum
SRR7788689,RNA-Seq,200,1370691200,PRJNA489378,SAMN09976726,949817029,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4643633,total RNA,GSM3375559,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2019-02-13T00:00:00Z,GSM3375559,whole worm,SRP159636,N2,whole worm,Ad Libitum
SRR7788690,RNA-Seq,200,1138014400,PRJNA489378,SAMN09976725,773636361,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4643634,total RNA,GSM3375560,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2019-02-13T00:00:00Z,GSM3375560,whole worm,SRP159636,N2,whole worm,Ad Libitum
SRR7788691,RNA-Seq,200,1142485400,PRJNA489378,SAMN09976725,786848076,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4643634,total RNA,GSM3375560,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2019-02-13T00:00:00Z,GSM3375560,whole worm,SRP159636,N2,whole worm,Ad Libitum
SRR7788692,RNA-Seq,200,1317763800,PRJNA489378,SAMN09976724,897076253,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4643635,polysome bound RNA,GSM3375561,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2019-02-13T00:00:00Z,GSM3375561,whole worm,SRP159636,N2,whole worm,Ad Libitum
SRR7788693,RNA-Seq,200,1324008600,PRJNA489378,SAMN09976724,913005335,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4643635,polysome bound RNA,GSM3375561,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2019-02-13T00:00:00Z,GSM3375561,whole worm,SRP159636,N2,whole worm,Ad Libitum
SRR7788694,RNA-Seq,200,1202640600,PRJNA489378,SAMN09976723,818067281,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4643636,polysome bound RNA,GSM3375562,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2019-02-13T00:00:00Z,GSM3375562,whole worm,SRP159636,N2,whole worm,Ad Libitum
SRR7788695,RNA-Seq,200,1207851400,PRJNA489378,SAMN09976723,832101842,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4643636,polysome bound RNA,GSM3375562,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2019-02-13T00:00:00Z,GSM3375562,whole worm,SRP159636,N2,whole worm,Ad Libitum
SRR7788696,RNA-Seq,200,1178607600,PRJNA489378,SAMN09976722,807717151,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4643637,polysome bound RNA,GSM3375563,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2019-02-13T00:00:00Z,GSM3375563,whole worm,SRP159636,N2,whole worm,Ad Libitum
SRR7788697,RNA-Seq,200,1181924600,PRJNA489378,SAMN09976722,820235243,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4643637,polysome bound RNA,GSM3375563,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2019-02-13T00:00:00Z,GSM3375563,whole worm,SRP159636,N2,whole worm,Ad Libitum
SRR7788698,RNA-Seq,200,1118420600,PRJNA489378,SAMN09976721,758784620,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4643638,polysome bound RNA,GSM3375564,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2019-02-13T00:00:00Z,GSM3375564,whole worm,SRP159636,N2,whole worm,Ad Libitum
SRR7788699,RNA-Seq,200,1121200800,PRJNA489378,SAMN09976721,770481227,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4643638,polysome bound RNA,GSM3375564,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2019-02-13T00:00:00Z,GSM3375564,whole worm,SRP159636,N2,whole worm,Ad Libitum
SRR7788700,RNA-Seq,200,1901700200,PRJNA489378,SAMN09976720,1294709583,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4643639,total RNA,GSM3375565,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2019-02-13T00:00:00Z,GSM3375565,whole worm,SRP159636,N2,whole worm,Dietary Restriction
SRR7788701,RNA-Seq,200,1902438000,PRJNA489378,SAMN09976720,1311164165,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4643639,total RNA,GSM3375565,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2019-02-13T00:00:00Z,GSM3375565,whole worm,SRP159636,N2,whole worm,Dietary Restriction
SRR7788702,RNA-Seq,200,1361596800,PRJNA489378,SAMN09976719,926124487,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4643640,total RNA,GSM3375566,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2019-02-13T00:00:00Z,GSM3375566,whole worm,SRP159636,N2,whole worm,Dietary Restriction
SRR7788703,RNA-Seq,200,1365546400,PRJNA489378,SAMN09976719,940738913,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX4643640,total RNA,GSM3375566,Illumina HiSeq 2000,PAIRED,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2019-02-13T00:00:00Z,GSM3375566,whole worm,SRP159636,N2,whole worm,Dietary Restriction
