Run,age_at_rna_isolation,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Buffer,Bytes,Center Name,collected_by,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,dev_stage_at_treatment_initiation,disease,Dosage,drug,Experiment,Genotype,GEO_Accession (exp),Group,Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,PHENOTYPE,Platform,ReleaseDate,Sample Name,sex,source_name,SRA Study,strain
SRR7811658,24 hour old young adult,RNA-Seq,200,7606072800,PRJNA490034,SAMN10023850,S. basal (water soluble),5345020836,GEO,"Erzsebet Polyak\, PhD",public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",1st day young adult,wild-type,0,H2O,SRX4663293,"wild-type,N2",GSM3380937,N2_3,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,wild-type,ILLUMINA,2019-03-02T00:00:00Z,GSM3380937,hermaphrodite,Whole worms,SRP160449,N2 Bristol
SRR7811659,24 hour old young adult,RNA-Seq,200,6067654400,PRJNA490034,SAMN10023849,S. basal (water soluble),4001265435,GEO,"Erzsebet Polyak\, PhD",public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",1st day young adult,wild-type,0,H2O,SRX4663294,"N2,wild-type",GSM3380938,N2_3,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,wild-type,ILLUMINA,2019-03-02T00:00:00Z,GSM3380938,hermaphrodite,Whole worms,SRP160449,N2 Bristol
SRR7811660,24 hour old young adult,RNA-Seq,200,15276732400,PRJNA490034,SAMN10023848,S. basal (water soluble),10346665411,GEO,"Erzsebet Polyak\, PhD",public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",1st day young adult,wild-type,0,H2O,SRX4663295,"wild-type,N2",GSM3380939,N2_3,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,wild-type,ILLUMINA,2019-03-02T00:00:00Z,GSM3380939,hermaphrodite,Whole worms,SRP160449,N2 Bristol
SRR7811661,24 hour old young adult,RNA-Seq,200,10832094200,PRJNA490034,SAMN10023847,S. basal (water soluble),6855029332,GEO,"Erzsebet Polyak\, PhD",public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",1st day young adult,wild-type,0,H2O,SRX4663296,"wild-type,N2",GSM3380940,N2_3,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,wild-type,ILLUMINA,2019-03-02T00:00:00Z,GSM3380940,hermaphrodite,Whole worms,SRP160449,N2 Bristol
SRR7811662,24 hour old young adult,RNA-Seq,200,8480153000,PRJNA490034,SAMN10023846,S. basal (water soluble),5957877354,GEO,"Erzsebet Polyak\, PhD",public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",1st day young adult,mitochondrial disease,0,H2O,SRX4663297,"homozygous p.R290K in K09A9.5 (NDUFS2 homologue),gas1",GSM3380941,Gas1_3,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,Complex I deficient,ILLUMINA,2019-03-02T00:00:00Z,GSM3380941,hermaphrodite,Whole worms,SRP160449,gas-1(fc21)
SRR7811663,24 hour old young adult,RNA-Seq,200,13162069200,PRJNA490034,SAMN10023845,S. basal (water soluble),8693563742,GEO,"Erzsebet Polyak\, PhD",public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",1st day young adult,mitochondrial disease,0,H2O,SRX4663298,"homozygous p.R290K in K09A9.5 (NDUFS2 homologue),gas1",GSM3380942,Gas1_3,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,Complex I deficient,ILLUMINA,2019-03-02T00:00:00Z,GSM3380942,hermaphrodite,Whole worms,SRP160449,gas-1(fc21)
SRR7811664,24 hour old young adult,RNA-Seq,200,5878511200,PRJNA490034,SAMN10023844,S. basal (water soluble),3977437233,GEO,"Erzsebet Polyak\, PhD",public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",1st day young adult,mitochondrial disease,0,H2O,SRX4663299,"homozygous p.R290K in K09A9.5 (NDUFS2 homologue),gas1",GSM3380943,Gas1_3,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,Complex I deficient,ILLUMINA,2019-03-02T00:00:00Z,GSM3380943,hermaphrodite,Whole worms,SRP160449,gas-1(fc21)
SRR7811665,24 hour old young adult,RNA-Seq,200,5438380800,PRJNA490034,SAMN10023843,S. basal (water soluble),3438309799,GEO,"Erzsebet Polyak\, PhD",public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",1st day young adult,mitochondrial disease,0,H2O,SRX4663300,"homozygous p.R290K in K09A9.5 (NDUFS2 homologue),gas1",GSM3380944,Gas1_3,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,Complex I deficient,ILLUMINA,2019-03-02T00:00:00Z,GSM3380944,hermaphrodite,Whole worms,SRP160449,gas-1(fc21)
SRR7811666,24 hour old young adult,RNA-Seq,200,8594752200,PRJNA490034,SAMN10023842,S. basal (water soluble),6025923433,GEO,"Erzsebet Polyak\, PhD",public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",1st day young adult,mitochondrial disease,0,Nacetylcysteine,SRX4663301,"homozygous p.R290K in K09A9.5 (NDUFS2 homologue),gas1",GSM3380945,Nac,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,Complex I deficient,ILLUMINA,2019-03-02T00:00:00Z,GSM3380945,hermaphrodite,Whole worms,SRP160449,gas-1(fc21)
SRR7811667,24 hour old young adult,RNA-Seq,200,5440138000,PRJNA490034,SAMN10023841,S. basal (water soluble),3567711725,GEO,"Erzsebet Polyak\, PhD",public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",1st day young adult,mitochondrial disease,0,Nacetylcysteine,SRX4663302,"homozygous p.R290K in K09A9.5 (NDUFS2 homologue),gas1",GSM3380946,Nac,Illumina HiSeq 2500,PAIRED,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,Complex I deficient,ILLUMINA,2019-03-02T00:00:00Z,GSM3380946,hermaphrodite,Whole worms,SRP160449,gas-1(fc21)
