Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Developmental_stage,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,strain/genotype
SRR8240860,RNA-Seq,300,12148324500,PRJNA506829,SAMN10474419,4755049874,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Adult day 1,SRX5059122,GSM3487689,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2018-11-28T00:00:00Z,GSM3487689,whole worm,SRP170618,fer-15(b26ts)
SRR8240861,RNA-Seq,300,8528612100,PRJNA506829,SAMN10474418,3366201819,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Adult day 1,SRX5059123,GSM3487690,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2018-11-28T00:00:00Z,GSM3487690,whole worm,SRP170618,fer-15(b26ts)
SRR8240862,RNA-Seq,300,10270737300,PRJNA506829,SAMN10474417,4174338632,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Adult day 1,SRX5059124,GSM3487691,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2018-11-28T00:00:00Z,GSM3487691,whole worm,SRP170618,fer-15(b26ts)
SRR8240863,RNA-Seq,300,10237031100,PRJNA506829,SAMN10474416,3983208388,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Adult day 2,SRX5059125,GSM3487692,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2018-11-28T00:00:00Z,GSM3487692,whole worm,SRP170618,fer-15(b26ts)
SRR8240864,RNA-Seq,300,9074062500,PRJNA506829,SAMN10474415,3601367074,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Adult day 2,SRX5059126,GSM3487693,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2018-11-28T00:00:00Z,GSM3487693,whole worm,SRP170618,fer-15(b26ts)
SRR8240865,RNA-Seq,300,10761848700,PRJNA506829,SAMN10474414,4358121368,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Adult day 2,SRX5059127,GSM3487694,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2018-11-28T00:00:00Z,GSM3487694,whole worm,SRP170618,fer-15(b26ts)
SRR8240866,RNA-Seq,300,9263535600,PRJNA506829,SAMN10474413,3580680005,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Adult day 3,SRX5059128,GSM3487695,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2018-11-28T00:00:00Z,GSM3487695,whole worm,SRP170618,fer-15(b26ts)
SRR8240867,RNA-Seq,300,7803534000,PRJNA506829,SAMN10474412,3070620252,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Adult day 3,SRX5059129,GSM3487696,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2018-11-28T00:00:00Z,GSM3487696,whole worm,SRP170618,fer-15(b26ts)
SRR8240868,RNA-Seq,300,10071730200,PRJNA506829,SAMN10474411,4113430120,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Adult day 3,SRX5059130,GSM3487697,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2018-11-28T00:00:00Z,GSM3487697,whole worm,SRP170618,fer-15(b26ts)
SRR8240869,RNA-Seq,300,10235052300,PRJNA506829,SAMN10474410,3956365538,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Adult day 4,SRX5059131,GSM3487698,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2018-11-28T00:00:00Z,GSM3487698,whole worm,SRP170618,fer-15(b26ts)
SRR8240870,RNA-Seq,300,10675826700,PRJNA506829,SAMN10474409,4244386271,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Adult day 4,SRX5059132,GSM3487699,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2018-11-28T00:00:00Z,GSM3487699,whole worm,SRP170618,fer-15(b26ts)
SRR8240871,RNA-Seq,300,10700494800,PRJNA506829,SAMN10474408,4287912539,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",Adult day 4,SRX5059133,GSM3487700,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2018-11-28T00:00:00Z,GSM3487700,whole worm,SRP170618,fer-15(b26ts)
