Run,Age,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,Genotype,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,tissue
SRR8435655,117 hours,RNA-Seq,51,1032581190,PRJNA514750,SAMN10734300,477241379,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5243190,fem-3(q20) IV,GSM3560682,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2019-01-23T00:00:00Z,GSM3560682,whole organism,SRP178555,whole organism
SRR8435656,117 hours,RNA-Seq,51,1133350662,PRJNA514750,SAMN10734299,523109032,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5243191,fem-3(q20) IV,GSM3560683,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2019-01-23T00:00:00Z,GSM3560683,whole organism,SRP178555,whole organism
SRR8435657,117 hours,RNA-Seq,51,1347552294,PRJNA514750,SAMN10734391,622562221,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5243192,gon-2(q388); gem-1(bc364),GSM3560684,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2019-01-23T00:00:00Z,GSM3560684,whole organism,SRP178555,whole organism
SRR8435658,117 hours,RNA-Seq,51,1375553079,PRJNA514750,SAMN10734390,627762078,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5243193,gon-2(q388); gem-1(bc364),GSM3560685,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2019-01-23T00:00:00Z,GSM3560685,whole organism,SRP178555,whole organism
SRR8435659,137 hours,RNA-Seq,51,1599650802,PRJNA514750,SAMN10734389,731544599,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5243194,fem-3(q20) IV,GSM3560686,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2019-01-23T00:00:00Z,GSM3560686,whole organism,SRP178555,whole organism
SRR8435660,137 hours,RNA-Seq,51,1913236950,PRJNA514750,SAMN10734388,891077173,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5243195,fem-3(q20) IV,GSM3560687,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2019-01-23T00:00:00Z,GSM3560687,whole organism,SRP178555,whole organism
SRR8435661,137 hours,RNA-Seq,51,1559360343,PRJNA514750,SAMN10734387,717842767,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5243196,gon-2(q388); gem-1(bc364),GSM3560688,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2019-01-23T00:00:00Z,GSM3560688,whole organism,SRP178555,whole organism
SRR8435662,137 hours,RNA-Seq,51,1424526390,PRJNA514750,SAMN10734386,647557026,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5243197,gon-2(q388); gem-1(bc364),GSM3560689,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2019-01-23T00:00:00Z,GSM3560689,whole organism,SRP178555,whole organism
SRR8435663,257 hours,RNA-Seq,51,2648398533,PRJNA514750,SAMN10734385,1230922012,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5243198,fem-3(q20) IV,GSM3560690,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2019-01-23T00:00:00Z,GSM3560690,whole organism,SRP178555,whole organism
SRR8435664,257 hours,RNA-Seq,51,1260816849,PRJNA514750,SAMN10734384,590055909,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5243199,fem-3(q20) IV,GSM3560691,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2019-01-23T00:00:00Z,GSM3560691,whole organism,SRP178555,whole organism
SRR8435665,257 hours,RNA-Seq,51,2351824608,PRJNA514750,SAMN10734383,1091541873,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX5243200,gon-2(q388); gem-1(bc364),GSM3560692,Illumina HiSeq 2500,SINGLE,cDNA,TRANSCRIPTOMIC,Caenorhabditis elegans,ILLUMINA,2019-01-23T00:00:00Z,GSM3560692,whole organism,SRP178555,whole organism
